Number of Vehicles,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
2,2,1,2,2,1,2,25,1
2,2,1,2,1,1,1,19,3
2,2,1,2,1,1,1,40,3
2,1,1,1,1,1,1,4,3
2,1,1,1,1,1,1,16,3
1,1,1,1,3,1,2,22,1
2,1,1,1,1,1,1,20,3
2,1,1,1,1,1,1,25,4
2,2,1,2,1,1,1,56,3
2,2,2,3,2,1,1,47,1
2,2,2,3,2,1,1,23,1
2,2,2,3,2,1,1,15,1
2,2,2,3,2,1,1,18,1
1,2,2,3,1,1,2,41,1
1,2,2,3,2,1,1,39,1
2,2,2,2,1,1,1,31,3
2,1,1,1,1,1,2,23,3
1,1,1,1,3,1,1,39,1
2,2,1,1,3,2,1,54,1
2,2,2,2,1,1,1,32,1
1,2,1,2,3,2,1,29,1
2,1,1,1,1,1,2,27,1
2,1,1,1,1,1,2,19,1
1,1,1,1,1,1,2,36,1
1,1,1,1,2,1,1,6,1
1,1,1,1,2,1,1,3,1
1,1,1,1,3,2,2,75,1
3,2,1,2,1,1,1,25,1
3,2,1,2,1,1,1,19,1
2,1,1,1,1,1,1,65,1
2,2,1,2,1,1,1,44,1
2,2,1,2,2,1,1,8,1
3,2,2,1,1,1,1,24,1
3,2,2,1,1,1,1,25,1
2,1,1,1,1,1,1,34,3
1,1,1,1,3,1,2,20,1
2,1,1,1,1,1,1,22,3
2,1,1,1,1,1,1,29,3
2,1,2,1,1,1,1,38,3
1,1,2,1,3,2,1,48,1
2,2,1,1,1,1,1,37,1
2,1,1,1,1,1,1,44,1
3,1,2,1,1,1,1,25,1
3,1,2,1,1,1,2,20,1
3,1,2,1,2,1,2,20,1
3,1,2,1,3,2,2,46,1
2,1,1,1,1,1,1,44,3
1,2,3,1,3,1,1,29,1
3,1,1,1,2,1,1,4,1
1,1,1,1,3,1,2,26,1
2,1,1,1,1,1,1,66,1
2,1,1,1,2,1,2,69,1
2,1,1,1,2,1,1,32,1
2,1,1,1,2,1,2,7,1
2,1,1,1,2,1,2,27,1
3,1,1,1,1,1,1,19,1
3,1,1,1,2,1,2,48,1
2,1,1,1,1,1,1,18,1
2,1,2,1,1,1,1,40,1
2,1,2,1,2,1,1,34,1
